id,name,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year
0dcAajozOgwGZe791KDsTs,Variety Tonight - Single Version,['REO Speedwagon'],FALSE,0.584,0.829,6,-8.182,0,0.0352,0.00494,0.000778,0.346,0.847,97.298,225160,4,1991
14jgcRem2mgSrTwRNZjVNo,"Back On The Road Again - Live at Blaisdell Arena, Honolulu, HI - January 1989",['REO Speedwagon'],FALSE,0.477,0.91,7,-9.154,0,0.049,4.01E-05,0.068,0.842,0.628,128.942,398333,4,1991
6xmkAXNYvbOGMvNwtemMuZ,"Keep On Loving You '89 - Live at Blaisdell Arena, Honolulu, HI - January 1989",['REO Speedwagon'],FALSE,0.64,0.63,0,-11.171,1,0.0361,0.138,2.67E-05,0.964,0.922,89.183,220360,4,1991
68flBr0KcPJ7U6bn3X9OiV,Love Is A Rock,['REO Speedwagon'],FALSE,0.556,0.83,0,-8.986,1,0.039,0.209,0,0.239,0.428,106.029,333373,4,1991
1oyilpfA9AIJGlW9nDTkAj,All Heaven Broke Loose,['REO Speedwagon'],FALSE,0.597,0.851,2,-8.772,1,0.0338,0.00972,0,0.197,0.482,124.068,254867,4,1991
2B5ssNiqJng04slQkzp4KC,L.I.A.R.,['REO Speedwagon'],FALSE,0.477,0.876,0,-7.893,1,0.0642,0.126,0,0.751,0.677,90.082,187533,4,1991
3rcdOf3vaq5EQk2OGlRB2V,"Live It Up - Live at Club Eastbrook, Grand Rapids, MI - January 1990",['REO Speedwagon'],FALSE,0.473,0.925,9,-8.225,1,0.0633,6.15E-05,0.336,0.983,0.555,115.412,281293,4,1991
3VYo7xIne21qhMd5eEbTpv,The Ones You Love,['Rick Astley'],FALSE,0.655,0.777,5,-8.701,1,0.039,0.399,0,0.0807,0.455,100.329,281173,4,1993
4HvEKS5F6TtD3Gi15cociZ,Waiting For The Bell To Ring,['Rick Astley'],FALSE,0.677,0.709,0,-9.102,0,0.0359,0.23,0,0.244,0.803,109.358,293693,4,1993
2sZX1XaQOGaOZEQLCzRkCU,Hopelessly,['Rick Astley'],FALSE,0.547,0.457,8,-9.872,1,0.0293,0.46,0,0.122,0.298,150.001,215133,4,1993
6C6f1w4JO2w32vLgXxDkuL,A Dream For Us,['Rick Astley'],FALSE,0.63,0.432,2,-11.346,0,0.0384,0.368,2.70E-06,0.1,0.468,88.44,367533,4,1993
6uCOTGMQDM5HOz1t8RgRoU,Body and Soul,['Rick Astley'],FALSE,0.632,0.555,6,-10.303,0,0.0291,0.154,1.69E-06,0.11,0.446,101.329,249733,4,1993
0x07GfGCfwvkfatxWtgeDl,Enough Love,['Rick Astley'],FALSE,0.449,0.703,6,-10.095,0,0.0752,0.658,0,0.0627,0.611,178.863,248133,4,1993
6ElaJrh8RQQTyOiuL4nxXR,Natures Gift,['Rick Astley'],FALSE,0.659,0.735,1,-9.206,1,0.037,0.409,3.00E-06,0.081,0.732,102.336,267027,4,1993
126e3StBvV1XNH3cEeWWvW,Remember The Days,['Rick Astley'],FALSE,0.757,0.66,8,-9.725,0,0.0267,0.26,1.01E-05,0.1,0.901,114.257,237573,4,1993
2BhWaFJOUMpFXFZtfKk1J1,Everytime,['Rick Astley'],FALSE,0.531,0.478,5,-10.749,1,0.052,0.514,0,0.0777,0.468,172.418,294333,4,1993
